+====================+===================+========================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                    |
+====================+===================+========================================================+
| clk                | clk               | u_line_buffer/line1_reg_0_255_10_10/RAMS64E_C/ADR1     |
| clk                | clk               | u_line_buffer/line1_reg_0_255_10_10/RAMS64E_D/ADR1     |
| clk                | clk               | u_line_buffer/line0_reg_1024_1279_13_13/RAMS64E_B/ADR1 |
| clk                | clk               | u_line_buffer/line0_reg_1024_1279_13_13/RAMS64E_A/ADR1 |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_13_13/RAMS64E_C/ADR0  |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_4_4/RAMS64E_B/ADR1    |
| clk                | clk               | u_line_buffer/line0_reg_0_255_14_14/RAMS64E_C/ADR0     |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_4_4/RAMS64E_A/ADR1    |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_4_4/RAMS64E_C/ADR1    |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_13_13/RAMS64E_B/ADR0  |
| clk                | clk               | u_line_buffer/line0_reg_0_255_11_11/RAMS64E_B/ADR1     |
| clk                | clk               | u_line_buffer/line1_reg_0_255_10_10/RAMS64E_A/ADR1     |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_13_13/RAMS64E_D/ADR0  |
| clk                | clk               | u_line_buffer/line0_reg_0_255_11_11/RAMS64E_A/ADR1     |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_4_4/RAMS64E_D/ADR1    |
| clk                | clk               | u_line_buffer/line1_reg_0_255_10_10/RAMS64E_B/ADR1     |
| clk                | clk               | u_line_buffer/line0_reg_256_511_11_11/RAMS64E_B/ADR1   |
| clk                | clk               | u_line_buffer/line0_reg_0_255_14_14/RAMS64E_D/ADR0     |
| clk                | clk               | u_line_buffer/line0_reg_256_511_11_11/RAMS64E_A/ADR1   |
| clk                | clk               | u_line_buffer/line0_reg_0_255_11_11/RAMS64E_A/ADR2     |
| clk                | clk               | u_line_buffer/line0_reg_0_255_11_11/RAMS64E_B/ADR2     |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_13_13/RAMS64E_C/ADR1  |
| clk                | clk               | u_line_buffer/line0_reg_768_1023_13_13/RAMS64E_A/ADR0  |
| clk                | clk               | u_line_buffer/line0_reg_0_255_9_9/RAMS64E_C/ADR0       |
| clk                | clk               | u_line_buffer/line0_reg_0_255_14_14/RAMS64E_A/ADR0     |
| clk                | clk               | u_line_buffer/line0_reg_1024_1279_13_13/RAMS64E_C/ADR1 |
| clk                | clk               | u_line_buffer/line0_reg_0_255_14_14/RAMS64E_B/ADR0     |
